lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4
# Adaptation terminated
# Step size = 0.0417706
# Diagonal elements of inverse mass matrix:
# 0.958353, 0.436966, 0.169074, 2.60679, 2.1995, 0.809623, 0.734458, 1.18376, 0.960173, 0.676418, 1.39378, 1.75158, 0.286683, 0.423687, 0.161348, 0.886961, 0.808781, 0.642471, 0.606377, 0.559671, 0.610773, 0.643402, 0.620496, 0.667279, 0.650815, 0.621282, 0.875966, 0.0410764, 0.0417563, 0.0547504, 0.135612, 0.379233, 0.224092
-428.90413,0.9976981,0.041770629,6,63,0,444.0587,0.072022685,0.024758815,0.55141591,0.35180259,1.4674419,-0.44311715,-0.81400878,1.7235002,3.3222371,3.0438457,2.6267514,1.158549,1.8443798,-2.2913482,-1.8833393,-1.9799924,-3.6569056,-2.8056494,-3.313671,6.3307967,3.7356322,1.2395165,0.61800774,0.56954382,0.25392603,1.4252966,0.85351103,3.6017761,3.5325575,4.9874009,3.4880372,13.893501,3.0212357,2.4315882,-2.6307741,-3.6985737,-0.59526593,-1.0446851,0.81266826,0.39099847,0.30703691,0.84857913,0.96518384,0.95451608,0.93256354,0.76106897,0.86346587,0.091842035,0.13200578,0.12131965,0.025162755,0.057019655,0.035105158,0.99958971,0.96417114,0.60480045,0.91225686,0.96518384,0.95451608,0.93256354,0.76106897,0.86346587,0.091842035,0.13200578,0.12131965,0.025162755,0.057019655,0.035105158,0.99958971,0.96417114,0.60480045,0.91225686,0.97999923,0.96435229,0.9829104,0.8820575,0.99570567,0.091842035,0.13200578,0.12131965,0.025162755,0.057019655,0.035105158,0.99958971,0.96417114,0.60480045,0.91225686,0.97999923,0.96435229,0.9829104,0.8820575,0.99570567,0.77577443,0.95705997,0.81877127,0.99996417,0.55368879,0.29274635
-432.35848,0.99693288,0.041770629,7,127,0,446.51277,0.032633932,0.07002899,0.58540607,0.31193101,2.0393183,1.0934386,-0.053467489,1.4510203,-2.3485464,3.102799,1.7229957,1.4137299,2.953243,-2.2866455,-3.4652254,-1.2828167,-3.5972495,-2.8171736,-4.3308702,1.4233302,1.7897442,1.1125762,0.77244431,6.4025021,0.74884307,1.8836401,0.47787248,1.283409,3.3231518,6.18704,1.5041733,6.6224782,3.4926525,3.744913,-3.4224027,-2.658846,-0.53544953,-1.1649733,0.88486383,0.74902868,0.48663631,0.81015541,0.087181381,0.95700805,0.8485143,0.80435357,0.95041654,0.092235028,0.030318034,0.21707114,0.026668297,0.056403172,0.012985259,0.96960612,0.94700881,0.74252018,0.90233694,0.087181381,0.95700805,0.8485143,0.80435357,0.95041654,0.092235028,0.030318034,0.21707114,0.026668297,0.056403172,0.012985259,0.96960612,0.94700881,0.74252018,0.90233694,0.98294242,0.97919713,0.97357427,0.86893812,0.98575009,0.092235028,0.030318034,0.21707114,0.026668297,0.056403172,0.012985259,0.96960612,0.94700881,0.74252018,0.90233694,0.98294242,0.97919713,0.97357427,0.86893812,0.98575009,0.73817532,0.93830167,0.5551143,0.95370095,0.66272889,0.35756299
-427.1851,0.98328652,0.041770629,7,127,0,446.16883,0.026913816,0.0046068274,0.63588448,0.33259488,-1.4755306,-0.76728926,-0.068181099,2.4398998,2.5695606,1.7808903,2.4245851,0.43650264,1.1011865,-2.609185,-2.3119283,-2.3602281,-3.9421829,-3.1434361,-2.6607347,6.5415306,3.4532492,1.0261554,0.53639653,0.75395978,1.0947231,0.81499371,2.2070323,4.4073206,3.9856643,4.1255134,3.5514011,8.464635,3.7461882,2.1609559,-3.6151155,-5.3802159,-0.45273837,-1.1008301,0.18610344,0.31706578,0.48296133,0.9198197,0.92887667,0.85580676,0.91868293,0.60742537,0.75048236,0.068549625,0.090139871,0.086256217,0.019036391,0.041350694,0.065330456,0.99373194,0.93619307,0.72271605,0.95149171,0.92887667,0.85580676,0.91868293,0.60742537,0.75048236,0.068549625,0.090139871,0.086256217,0.019036391,0.041350694,0.065330456,0.99373194,0.93619307,0.72271605,0.95149171,0.96522694,0.94662767,0.96229683,0.9336114,0.9959642,0.068549625,0.090139871,0.086256217,0.019036391,0.041350694,0.065330456,0.99373194,0.93619307,0.72271605,0.95149171,0.96522694,0.94662767,0.96229683,0.9336114,0.9959642,0.79842498,0.8597946,0.7669508,0.98925437,0.64628568,0.37759265
-432.33255,0.99449978,0.041770629,7,127,0,448.18938,0.1002112,0.1388429,0.48155197,0.27939393,1.5515979,0.30837676,-0.90981172,0.41502299,0.85701473,1.7582157,1.9899912,0.55835706,2.750918,-2.967875,-2.9602731,-1.478041,-3.5816149,-2.6204862,-4.8269245,1.5655638,2.8328937,1.9157469,2.5669686,2.1088541,0.84161072,0.33255125,1.141431,0.16253672,3.8099361,5.1847431,2.8161013,6.108736,4.850342,5.179392,-2.3004753,-1.9744122,-0.73074111,-1.2751326,0.82514439,0.576489,0.28703837,0.60229168,0.70203657,0.85298605,0.87974221,0.63607231,0.93996517,0.048898458,0.049253214,0.1857235,0.027077141,0.067831544,0.0079474538,0.95759512,0.95856337,0.7322239,0.9517539,0.70203657,0.85298605,0.87974221,0.63607231,0.93996517,0.048898458,0.049253214,0.1857235,0.027077141,0.067831544,0.0079474538,0.95759512,0.95856337,0.7322239,0.9517539,0.95100816,0.93085041,0.91072687,0.84550705,0.94850756,0.048898458,0.049253214,0.1857235,0.027077141,0.067831544,0.0079474538,0.95759512,0.95856337,0.7322239,0.9517539,0.95100816,0.93085041,0.91072687,0.84550705,0.94850756,0.69889914,0.9024255,0.79217077,0.92602137,0.90289872,0.58721583
-433.35143,0.99376794,0.041770629,7,127,0,451.67793,0.010390408,0.041054593,0.67077788,0.27777712,-1.3840934,-0.45848761,0.39156147,-1.3019962,1.671171,1.4642565,3.2784977,1.2172485,2.2606625,-2.6431649,-2.2491463,-0.85030673,-3.4949195,-4.1486773,-2.9613735,10.435251,3.3893185,0.38420059,4.3748227,1.4116288,1.1568739,0.68736431,0.98809963,11.39294,3.3709175,4.9876594,1.8714557,11.870797,6.6332137,3.2425329,-4.5668722,-3.1928526,-0.39931723,-1.2809362,0.20035239,0.38734467,0.59665854,0.21382926,0.84173188,0.81218284,0.96368374,0.77157898,0.9055663,0.066411541,0.095423129,0.29936852,0.029457132,0.015539979,0.049201713,0.99988276,0.94934964,0.68476602,0.95575785,0.84173188,0.81218284,0.96368374,0.77157898,0.9055663,0.066411541,0.095423129,0.29936852,0.029457132,0.015539979,0.049201713,0.99988276,0.94934964,0.68476602,0.95575785,0.95617765,0.93220918,0.98140079,0.90072875,0.99999882,0.066411541,0.095423129,0.29936852,0.029457132,0.015539979,0.049201713,0.99988276,0.94934964,0.68476602,0.95575785,0.95617765,0.93220918,0.98140079,0.90072875,0.99999882,0.67431191,0.93926133,0.73519634,0.9997697,0.92305063,0.56983044
-433.23769,0.9811529,0.041770629,7,127,0,452.02059,0.043560969,0.061093802,0.64428753,0.2510577,0.33441837,-0.88812381,-0.29633256,1.6456165,2.1574921,0.78834842,0.96591207,0.39927379,3.9302872,-3.0782149,-3.2484842,-1.7360945,-3.4594499,-2.1489298,-2.536731,8.0403585,4.2083365,1.0793498,1.4771085,0.35356993,2.5751724,2.7220505,1.7861613,0.19131241,3.5724385,5.296531,2.8014584,5.9676314,15.4576,2.7349312,-3.1335937,-2.7953449,-0.43961018,-1.3820725,0.58283405,0.29149716,0.42645426,0.83829773,0.89636681,0.6874766,0.72430394,0.59851317,0.98074019,0.044014866,0.037381395,0.14980968,0.030488288,0.10443127,0.073322984,0.99976944,0.96511575,0.68633002,0.95782046,0.89636681,0.6874766,0.72430394,0.59851317,0.98074019,0.044014866,0.037381395,0.14980968,0.030488288,0.10443127,0.073322984,0.99976944,0.96511575,0.68633002,0.95782046,0.92491368,0.96654481,0.97558793,0.89893393,0.98404029,0.044014866,0.037381395,0.14980968,0.030488288,0.10443127,0.073322984,0.99976944,0.96511575,0.68633002,0.95782046,0.92491368,0.96654481,0.97558793,0.89893393,0.98404029,0.6211009,0.88575011,0.74371425,0.92471339,0.99999834,0.54938848
-438.06622,0.99347537,0.041770629,6,127,0,453.8679,0.01112341,0.063664289,0.60238992,0.32282238,1.3121014,0.23792323,-0.98734887,0.34604018,3.057892,-1.4799231,0.95351261,-1.1773195,2.988708,-2.1606341,-2.7119254,-1.6434459,-3.5083916,-4.0516227,-2.9950078,2.4150939,2.835242,1.6894606,1.8790052,0.17901646,4.9602538,1.9458393,2.7671107,0.28988672,4.3912843,5.677338,2.2651268,12.819958,3.8988314,2.2035476,-4.4987034,-2.7541315,-0.50685033,-1.130653,0.78786458,0.5592018,0.27143604,0.58565701,0.95512202,0.18543903,0.72182104,0.23553449,0.95206138,0.10334168,0.062273322,0.16199672,0.029074405,0.017096744,0.047651916,0.97650507,0.95577217,0.6686558,0.90247616,0.95512202,0.18543903,0.72182104,0.23553449,0.95206138,0.10334168,0.062273322,0.16199672,0.029074405,0.017096744,0.047651916,0.97650507,0.95577217,0.6686558,0.90247616,0.96219983,0.97012291,0.94781439,0.83058671,0.96368714,0.10334168,0.062273322,0.16199672,0.029074405,0.017096744,0.047651916,0.97650507,0.95577217,0.6686558,0.90247616,0.96219983,0.97012291,0.94781439,0.83058671,0.96368714,0.90296835,0.9509869,0.65060075,0.99990964,0.46187631,0.31185524
-440.75912,0.9781705,0.041770629,7,127,0,460.43195,0.027314614,0.012351548,0.62503384,0.3353,-1.0128175,-2.009779,-0.29916157,2.3361436,2.7899172,0.46865032,2.8952459,-3.4064069,3.8189591,-1.6093775,-3.0529748,-0.725581,-3.4757122,-3.2981078,-3.6424251,11.610382,5.0815284,1.1114255,0.84882442,0.12542116,2.7648821,0.87013561,6.3888864,0.88423813,2.9248065,5.7474946,1.6583486,6.0963625,30.309068,3.4778616,-3.6003334,-4.3939739,-0.46994949,-1.0927296,0.26642882,0.11818001,0.42576246,0.91182653,0.94212853,0.61506425,0.94761092,0.032095833,0.97852084,0.16667505,0.045089216,0.32616519,0.030011248,0.035636159,0.025520408,0.99997502,0.95571228,0.69259172,0.96026466,0.94212853,0.61506425,0.94761092,0.032095833,0.97852084,0.16667505,0.045089216,0.32616519,0.030011248,0.035636159,0.025520408,0.99997502,0.95571228,0.69259172,0.96026466,0.94859948,0.96207685,0.97736541,0.9517763,0.99101521,0.16667505,0.045089216,0.32616519,0.030011248,0.035636159,0.025520408,0.99997502,0.95571228,0.69259172,0.96026466,0.94859948,0.96207685,0.97736541,0.9517763,0.99101521,0.7884202,0.9367025,0.71763644,0.93217883,1,0.4589517
-440.94764,0.92373121,0.041770629,4,16,1,463.52628,0.029560941,0.0064402602,0.69515061,0.26884819,-1.4024569,-1.8543162,-0.0077384334,2.3671055,3.5962995,1.053848,2.8698442,-2.2052332,2.5701221,-1.3499877,-3.1250588,-0.85066713,-3.386708,-3.6644483,-3.6323008,11.233568,5.3451072,1.0143972,0.86169648,0.096155236,2.9828466,0.72185749,4.3072565,1.1097671,3.1446461,5.9222269,1.6961417,6.6319659,17.155351,3.108812,-3.5213014,-5.0451863,-0.36362675,-1.3136084,0.19742653,0.13536692,0.4980654,0.9142843,0.97330703,0.74151313,0.94633544,0.099281527,0.92891376,0.20587238,0.042085359,0.29929293,0.032713465,0.024978396,0.025773405,0.99994625,0.97042461,0.73236576,0.96190388,0.97330703,0.74151313,0.94633544,0.099281527,0.92891376,0.20587238,0.042085359,0.29929293,0.032713465,0.024978396,0.025773405,0.99994625,0.97042461,0.73236576,0.96190388,0.97569469,0.98265058,0.97318732,0.89109967,0.97539491,0.20587238,0.042085359,0.29929293,0.032713465,0.024978396,0.025773405,0.99994625,0.97042461,0.73236576,0.96190388,0.97569469,0.98265058,0.97318732,0.89109967,0.97539491,0.85749745,0.9425226,0.69961698,0.96250234,0.99999862,0.37203681
-430.33577,0.99889515,0.041770629,7,127,0,454.23835,0.070508795,0.0026753253,0.6561082,0.27070768,0.83327803,-0.072590431,0.29921369,2.1508224,1.5880369,0.93881841,2.1748933,-2.7987708,2.5669893,-2.5244919,-3.1246629,-1.5377024,-2.3763979,-1.7776319,-3.0270866,9.9431271,3.2208689,0.71392698,0.38019409,0.82009633,2.6046887,0.54710232,4.6937179,3.3829237,2.8822079,6.1318703,2.5215425,6.9670267,2.9552479,3.1982875,-2.6520178,-5.9236843,-0.42142957,-1.3067157,0.69704761,0.48186036,0.57425028,0.8957456,0.83033974,0.71886092,0.89797215,0.057390635,0.92870661,0.074158941,0.042101321,0.17686952,0.084990269,0.1445958,0.046217081,0.99997911,0.95884084,0.73363433,0.92628779,0.83033974,0.71886092,0.89797215,0.057390635,0.92870661,0.074158941,0.042101321,0.17686952,0.084990269,0.1445958,0.046217081,0.99997911,0.95884084,0.73363433,0.92628779,0.91744541,0.97190065,0.93831214,0.86931856,0.99740071,0.074158941,0.042101321,0.17686952,0.084990269,0.1445958,0.046217081,0.99997911,0.95884084,0.73363433,0.92628779,0.91744541,0.97190065,0.93831214,0.86931856,0.99740071,0.58848741,0.95289867,0.7278695,0.98995544,0.76451888,0.54269599
