lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4
# Adaptation terminated
# Step size = 0.0353566
# Diagonal elements of inverse mass matrix:
# 0.983862, 0.417282, 0.178341, 2.43058, 2.06966, 0.805014, 0.799318, 1.19856, 0.956372, 0.610648, 1.37033, 1.7134, 0.279184, 0.387874, 0.165669, 0.87342, 0.861061, 0.658504, 0.607742, 0.507003, 0.60963, 0.665232, 0.625592, 0.658185, 0.582952, 0.627412, 0.875177, 0.0391397, 0.0396102, 0.0578695, 0.140995, 0.396419, 0.272679
-431.58581,0.99842719,0.035356646,6,127,0,456.4363,0.047453133,0.049432045,0.55375397,0.34936086,0.57406157,2.0279228,-0.21712213,1.6148059,0.18866336,1.916902,1.1602781,0.37758446,3.5293163,-1.7048624,-2.9967347,-1.0104862,-3.5131756,-3.1281764,-3.0047743,2.5410612,0.99211464,1.0314365,1.3954684,2.8247995,1.5022231,1.6868391,1.1264787,1.2336379,3.4481686,3.9349974,1.6472123,7.7077033,5.4378336,2.2158907,-3.0480127,-3.0071564,-0.59103479,-1.0516499,0.63969983,0.88369776,0.44593171,0.83407756,0.54702644,0.87179257,0.76138324,0.59329037,0.97151049,0.15383128,0.047573608,0.26688471,0.028939661,0.041959853,0.047210653,0.95751225,0.95347119,0.6930281,0.95303614,0.54702644,0.87179257,0.76138324,0.59329037,0.97151049,0.15383128,0.047573608,0.26688471,0.028939661,0.041959853,0.047210653,0.95751225,0.95347119,0.6930281,0.95303614,0.95317864,0.96829692,0.94516948,0.8181797,0.99153198,0.15383128,0.047573608,0.26688471,0.028939661,0.041959853,0.047210653,0.95751225,0.95347119,0.6930281,0.95303614,0.95317864,0.96829692,0.94516948,0.8181797,0.99153198,0.85110653,0.71874861,0.65401301,0.9851461,0.90967369,0.31240844
-433.33916,0.99533385,0.035356646,7,127,0,452.0601,0.041262203,0.028984379,0.56106779,0.36868563,-0.00045347421,0.10090319,0.39902746,1.4474716,2.0115216,2.8252247,2.2923206,0.89445225,3.3515209,-2.1211189,-3.3243794,-2.4509482,-2.8757961,-3.5751321,-4.4196182,4.0572216,5.7776973,0.30271146,1.2409388,1.2777422,0.17084887,1.1671515,0.45512326,1.5811855,3.9415237,5.6325686,3.3851333,8.6062223,4.6888789,3.2723195,-3.1878084,-3.5409982,-0.57791355,-0.99781095,0.49988663,0.52520442,0.59845397,0.80960901,0.88200147,0.94402379,0.90823904,0.70980811,0.96615461,0.10706106,0.034744238,0.079369239,0.053363098,0.02724845,0.011895618,0.98298951,0.99720911,0.6685732,0.9363393,0.88200147,0.94402379,0.90823904,0.70980811,0.96615461,0.10706106,0.034744238,0.079369239,0.053363098,0.02724845,0.011895618,0.98298951,0.99720911,0.6685732,0.9363393,0.96405865,0.95239643,0.96951237,0.79406022,0.9928446,0.10706106,0.034744238,0.079369239,0.053363098,0.02724845,0.011895618,0.98298951,0.99720911,0.6685732,0.9363393,0.96405865,0.95239643,0.96951237,0.79406022,0.9928446,0.8606147,0.909553,0.71792359,0.99676481,0.75282699,0.24098282
-431.04107,0.99785579,0.035356646,7,127,0,447.78263,0.096488904,0.044519103,0.58912219,0.2698698,0.96506122,0.7973833,-0.85107966,2.3014195,0.64450736,-0.61187897,3.0761192,-0.12478382,1.3154761,-2.1517421,-2.2793703,-1.0581838,-3.8867986,-2.0095385,-3.3629088,3.0136985,3.8143511,1.7371495,0.397178,2.0822502,3.6720421,0.4809467,3.0268473,8.7418341,3.8890792,4.6045585,1.7874013,13.211517,2.2025029,3.8604338,-2.3383273,-3.1118369,-0.52912166,-1.3098157,0.724134,0.68941446,0.29920642,0.90899453,0.65577164,0.3516307,0.95589687,0.46884446,0.78842806,0.10416854,0.092845976,0.25765669,0.020098663,0.11820508,0.033474984,0.98163476,0.99016315,0.70807846,0.93694383,0.65577164,0.3516307,0.95589687,0.46884446,0.78842806,0.10416854,0.092845976,0.25765669,0.020098663,0.11820508,0.033474984,0.98163476,0.99016315,0.70807846,0.93694383,0.9385872,0.95521928,0.97226858,0.94794835,0.99995713,0.10416854,0.092845976,0.25765669,0.020098663,0.11820508,0.033474984,0.98163476,0.99016315,0.70807846,0.93694383,0.9385872,0.95521928,0.97226858,0.94794835,0.99995713,0.85034851,0.91094174,0.67463355,0.99991082,0.54809196,0.62187754
-426.92813,0.98850831,0.035356646,7,127,0,451.48577,0.057997686,0.025475921,0.52379659,0.39272981,0.39188759,-1.174103,-0.48139502,1.6714079,0.9752867,1.0071996,3.6639706,-0.071609706,2.2266674,-2.741143,-2.0026465,-1.1692521,-3.9587512,-1.9404792,-4.3637816,4.9572568,3.6990951,1.5247267,1.0354622,2.0975008,2.3981339,0.63454062,1.3786139,5.5651278,3.8951991,4.4898274,2.0907027,9.4118439,2.5266208,3.2626135,-2.8473522,-3.6700215,-0.64665186,-0.93463342,0.59673702,0.23611414,0.38192277,0.84176345,0.72617199,0.73247176,0.97500997,0.48210522,0.90261882,0.060588812,0.11892533,0.23699019,0.018729447,0.12559522,0.012570136,0.99527026,0.92587539,0.73949234,0.93743082,0.72617199,0.73247176,0.97500997,0.48210522,0.90261882,0.060588812,0.11892533,0.23699019,0.018729447,0.12559522,0.012570136,0.99527026,0.92587539,0.73949234,0.93743082,0.95575619,0.96787081,0.9865934,0.78701142,0.99958706,0.060588812,0.11892533,0.23699019,0.018729447,0.12559522,0.012570136,0.99527026,0.92587539,0.73949234,0.93743082,0.95575619,0.96787081,0.9865934,0.78701142,0.99958706,0.76025099,0.92323825,0.71533758,0.99573523,0.64247936,0.24952108
-427.79315,0.9986732,0.035356646,7,127,0,440.06121,0.040818552,0.041526891,0.53817465,0.37947991,0.561278,0.29392779,-0.9803121,1.9536708,2.8135597,1.8330225,1.3639555,0.50355802,1.2270688,-1.9920915,-3.9925384,-1.9798057,-3.4584575,-4.1579182,-2.9318004,4.5297285,2.1727334,1.7890539,0.76780195,1.2058284,1.2474162,0.916743,2.3895673,7.1498806,3.2954269,7.4969758,3.3215539,7.5267474,4.7857126,1.8331106,-3.1986186,-3.1814141,-0.61957215,-0.96895362,0.63674819,0.57295745,0.27282986,0.87584635,0.94340418,0.8621214,0.79640182,0.62329511,0.77330513,0.12003577,0.018118476,0.12133955,0.030517638,0.015399239,0.050603758,0.99388579,0.92177135,0.69184132,0.93828188,0.94340418,0.8621214,0.79640182,0.62329511,0.77330513,0.12003577,0.018118476,0.12133955,0.030517638,0.015399239,0.050603758,0.99388579,0.92177135,0.69184132,0.93828188,0.98235305,0.95607861,0.90726583,0.94750555,0.99976994,0.12003577,0.018118476,0.12133955,0.030517638,0.015399239,0.050603758,0.99388579,0.92177135,0.69184132,0.93828188,0.98235305,0.95607861,0.90726583,0.94750555,0.99976994,0.78639579,0.97081376,0.79277728,0.9831811,0.65198918,0.24998546
-427.33342,0.99315124,0.035356646,7,127,0,442.00668,0.064440133,0.096983408,0.50989565,0.32868081,0.15724295,0.8048541,0.0018141599,1.1834383,1.6636558,1.0109902,2.0899472,0.86186658,3.891865,-2.5307568,-2.8035558,-1.7800992,-3.3624436,-2.209064,-3.3329963,4.4720285,3.5024665,0.98501263,1.2213698,3.4206361,1.3823236,0.45138699,0.78152559,0.57418211,3.1433652,5.6934067,3.1604482,6.4432692,3.0746428,3.383726,-2.7420187,-2.3332154,-0.67354919,-1.1126682,0.53922994,0.69101186,0.50045354,0.76556546,0.84072814,0.73321388,0.88992225,0.70305049,0.98000088,0.073729945,0.05713233,0.14429089,0.033490036,0.09893949,0.034456406,0.9903325,0.98670943,0.7284607,0.91719321,0.84072814,0.73321388,0.88992225,0.70305049,0.98000088,0.073729945,0.05713233,0.14429089,0.033490036,0.09893949,0.034456406,0.9903325,0.98670943,0.7284607,0.91719321,0.99384485,0.91631602,0.92698918,0.83799598,0.98863793,0.073729945,0.05713233,0.14429089,0.033490036,0.09893949,0.034456406,0.9903325,0.98670943,0.7284607,0.91719321,0.99384485,0.91631602,0.92698918,0.83799598,0.98863793,0.64853559,0.94734245,0.79904705,0.95609485,0.7038249,0.5126797
-429.98622,0.98781808,0.035356646,7,127,0,450.98314,0.14726813,0.03366472,0.53531503,0.28375213,2.9271417,2.4194528,-0.41036453,2.4469839,2.0167225,3.0836558,2.1807734,0.23675416,2.0883921,-2.0575411,-2.3509942,-1.4875873,-3.3173708,-3.4218266,-3.0950474,4.0437527,0.8561383,0.75334604,0.76376686,0.6820235,0.27866521,0.38819186,2.1818115,1.8870506,2.9730312,4.0829026,2.3708654,6.6099793,4.1059786,2.2924598,-1.9155004,-3.3913049,-0.62489987,-1.2596542,0.94917195,0.9182987,0.39882472,0.92034061,0.88254169,0.9562135,0.89850962,0.55891361,0.88976982,0.11329261,0.086986781,0.18428414,0.034980051,0.031620251,0.043312006,0.99906207,0.96358188,0.58491458,0.96123685,0.88254169,0.9562135,0.89850962,0.55891361,0.88976982,0.11329261,0.086986781,0.18428414,0.034980051,0.031620251,0.043312006,0.99906207,0.96358188,0.58491458,0.96123685,0.93695261,0.96650599,0.92883733,0.91823212,0.98157487,0.11329261,0.086986781,0.18428414,0.034980051,0.031620251,0.043312006,0.99906207,0.96358188,0.58491458,0.96123685,0.93695261,0.96650599,0.92883733,0.91823212,0.98157487,0.71412229,0.84965636,0.70750107,0.96417436,0.66466477,0.30947227
-432.08683,0.99963904,0.035356646,7,127,0,441.93276,0.057809985,0.13999369,0.40547583,0.39672049,-0.32149366,2.6031208,0.090338224,2.5164143,2.333821,1.7429542,3.0112337,1.1069203,2.7428734,-1.4584266,-3.0775447,-1.7338119,-3.8218827,-2.257023,-3.664375,4.1973309,0.68048309,0.98435329,0.83762646,1.1224209,2.1520721,0.82565703,0.43274085,3.0810501,2.1428409,7.6929824,2.8773718,15.375557,2.8055974,3.0846824,-2.8505938,-1.9661579,-0.90269401,-0.9245233,0.42031178,0.93106216,0.52256921,0.92528454,0.91163961,0.85106191,0.95307906,0.75155452,0.9395096,0.18870809,0.044043075,0.15010064,0.021417795,0.094745392,0.024980182,0.97968432,0.96386203,0.74548809,0.96623691,0.91163961,0.85106191,0.95307906,0.75155452,0.9395096,0.18870809,0.044043075,0.15010064,0.021417795,0.094745392,0.024980182,0.97968432,0.96386203,0.74548809,0.96623691,0.96941674,0.98006274,0.97889451,0.82341547,0.99705273,0.18870809,0.044043075,0.15010064,0.021417795,0.094745392,0.024980182,0.97968432,0.96386203,0.74548809,0.96623691,0.96941674,0.98006274,0.97889451,0.82341547,0.99705273,0.66472321,0.99019916,0.75833264,0.9999904,0.63380477,0.35900333
-428.16916,0.99787247,0.035356646,7,127,0,445.25502,0.053620988,0.0082056221,0.59386919,0.3443042,2.4943513,2.6309304,0.57785545,2.6331919,1.8066854,1.3652533,2.2636879,-1.683178,0.085866609,-2.5515881,-2.8860228,-1.6075411,-3.225922,-2.6008608,-3.3046897,5.354018,0.42768359,0.21032457,0.68429225,1.8238915,2.133888,0.35166412,4.1411807,7.1041398,3.806435,4.5643833,2.3844769,11.854099,3.2724549,3.0426501,-2.9258147,-4.8029357,-0.5210962,-1.0662297,0.92374488,0.93282587,0.6405738,0.93296745,0.8589608,0.79661216,0.9058247,0.15667511,0.52145347,0.072319866,0.052848849,0.16693028,0.038201799,0.069083042,0.035410654,0.99960976,0.95515296,0.68744041,0.96502377,0.8589608,0.79661216,0.9058247,0.15667511,0.52145347,0.072319866,0.052848849,0.16693028,0.038201799,0.069083042,0.035410654,0.99960976,0.95515296,0.68744041,0.96502377,0.97418328,0.97066332,0.9318431,0.92114471,0.99924648,0.072319866,0.052848849,0.16693028,0.038201799,0.069083042,0.035410654,0.99960976,0.95515296,0.68744041,0.96502377,0.97418328,0.97066332,0.9318431,0.92114471,0.99924648,0.77813775,0.84268732,0.68501934,0.99982104,0.66186002,0.4348624
-428.03585,0.99932713,0.035356646,7,127,0,441.08912,0.019282298,0.066830406,0.52451273,0.38937457,1.8540608,1.9127704,-0.1473972,-0.04344809,0.14502635,1.1655917,2.9888109,-0.36610513,1.4826665,-2.4801131,-2.6350956,-2.0361298,-4.5196438,-2.2609566,-3.0494392,4.9788575,0.5663336,1.1816513,2.293342,3.8169807,1.7154324,0.56363599,2.7698317,2.7451212,3.7570007,6.4596865,3.4922445,7.0893868,2.2459995,2.3657112,-3.9485678,-2.7055971,-0.64528559,-0.94321349,0.86460318,0.87133007,0.46321727,0.48913969,0.53619317,0.76234727,0.95206607,0.40948249,0.81497501,0.077264135,0.0669136,0.11546141,0.010775526,0.094408556,0.045241691,0.99892345,0.92266389,0.73773981,0.90464138,0.53619317,0.76234727,0.95206607,0.40948249,0.81497501,0.077264135,0.0669136,0.11546141,0.010775526,0.094408556,0.045241691,0.99892345,0.92266389,0.73773981,0.90464138,0.9813303,0.94690038,0.97214377,0.91711103,0.98562503,0.077264135,0.0669136,0.11546141,0.010775526,0.094408556,0.045241691,0.99892345,0.92266389,0.73773981,0.90464138,0.9813303,0.94690038,0.97214377,0.91711103,0.98562503,0.78191951,0.97863889,0.81093772,0.92888872,0.49626081,0.33542976
